country	year	sport	event	athlete	Result	medal
Austria	2004	Triathlon	Triathlon Women	Kate Allen	2:04:43	GOLD
Austria	2004	Sailing	Tornado	Roman Hagara	34	GOLD
Austria	2004	Sailing	Tornado	Hans-Peter Steinacher	34	GOLD
Austria	2004	Sailing	Laser	Andreas Geritzer	68	SILVER
Ethiopia	2004	Track & Field	5000m Men	Kenenisa Bekele	13:14.59	SILVER
Ethiopia	2004	Track & Field	10000m Men	Kenenisa Bekele	27:05.10	GOLD
Ethiopia	2004	Track & Field	10000m Men	Seleshi Sehen	27:09.39	SILVER
Ethiopia	2004	Track & Field	10000m Women	Ejigayehu Dibaba	30:24.98	SILVER
Ethiopia	2004	Track & Field	10000m Women	Derartu Tulu	30:26.42	BRONZE
Ethiopia	2004	Track & Field	5000m Women	Meseret Defar	14:45.65	GOLD
Ethiopia	2004	Track & Field	5000m Women	Tirunesh Dibaba	14:51.83	BRONZE
Kenya	2004	Track & Field	1500m Men	Bernard Lagat	3:34.30	SILVER
Kenya	2004	Track & Field	5000m Men	Eliud Kipchoge	13:15.10	BRONZE
Kenya	2004	Track & Field	3000m Steeplechase Men	Ezekiel Kemboi	8:05.81	GOLD
Kenya	2004	Track & Field	3000m Steeplechase Men	Brimin Kiprop	8:06.11	SILVER
Kenya	2004	Track & Field	3000m Steeplechase Men	Paul Kipsiele Koech	8:06.64	BRONZE
Kenya	2004	Track & Field	Marathon Women	Catherine Ndereba	2:26:32	SILVER
Kenya	2004	Track & Field	5000m Women	Isabella Ochichi	14:48.19	SILVER
Sweden	2004	Track & Field	High Jump Men	Stefan Holm	2.36	GOLD
Sweden	2004	Track & Field	Triple Jump Men	Christian Olsson	17.79	GOLD
Sweden	2004	Track & Field	Heptathlon Women	Carolina Kluft	6952	GOLD
Sweden	2004	Canoeing	K2 1000m Kayak Pairs (Men)	Henrik Nilsson	3:18.420	GOLD
Sweden	2004	Canoeing	K2 1000m Kayak Pairs (Men)	Markus Oscarsson	3:18.420	GOLD
Sweden	2004	Equestrian	Jumping, Team	Malin Baryard	12	SILVER
Sweden	2004	Equestrian	Jumping, Team	Rolf-Goran Bengtsson	12	SILVER
Sweden	2004	Equestrian	Jumping, Team	Peter Eriksson	12	SILVER
Sweden	2004	Equestrian	Jumping, Team	Peder Fredericson	12	SILVER
Sweden	2004	Wrestling	Greco-Roman 84kg	Ara Abrahamian		SILVER
Sweden	2004	Sailing	470 Women	Therese Torgersson	63	BRONZE
Sweden	2004	Sailing	470 Women	Vendela Zachrisson	63	BRONZE
Argentina	2004	Basketball	Basketball Men	Carlos Delfino		GOLD
Argentina	2004	Basketball	Basketball Men	Gabriel Fernandez		GOLD
Argentina	2004	Basketball	Basketball Men	Emanuel Ginobili		GOLD
Argentina	2004	Basketball	Basketball Men	Leonardo Gutierrez		GOLD
Argentina	2004	Basketball	Basketball Men	Walter Herrmann		GOLD
Argentina	2004	Basketball	Basketball Men	Alejandro Montecchia		GOLD
Argentina	2004	Basketball	Basketball Men	Andres Nocioni		GOLD
Argentina	2004	Basketball	Basketball Men	Fabricio Oberto		GOLD
Argentina	2004	Basketball	Basketball Men	Juan Sanchez		GOLD
Argentina	2004	Basketball	Basketball Men	Luis Scola		GOLD
Argentina	2004	Basketball	Basketball Men	Hugo Sconochini		GOLD
Argentina	2004	Basketball	Basketball Men	Ruben Wolkowyski		GOLD
Argentina	2004	Field Hockey	Field Hockey Women	Paola Vukojicic		BRONZE
Argentina	2004	Field Hockey	Field Hockey Women	Marine Russo		BRONZE
Argentina	2004	Field Hockey	Field Hockey Women	Ayelen Stepnik		BRONZE
Argentina	2004	Field Hockey	Field Hockey Women	Cecilia Rognoni		BRONZE
Argentina	2004	Field Hockey	Field Hockey Women	Vanina Oneto		BRONZE
Argentina	2004	Field Hockey	Field Hockey Women	Maria de la Paz Hernandez		BRONZE
Argentina	2004	Field Hockey	Field Hockey Women	Mercedes Margalot		BRONZE
Argentina	2004	Field Hockey	Field Hockey Women	Mariana Gonzalez		BRONZE
Argentina	2004	Field Hockey	Field Hockey Women	Alejandra Gulla		BRONZE
Argentina	2004	Field Hockey	Field Hockey Women	Agustina Garcia		BRONZE
Argentina	2004	Field Hockey	Field Hockey Women	Marina di Giacomo		BRONZE
Argentina	2004	Field Hockey	Field Hockey Women	Magadalena Aicega		BRONZE
Argentina	2004	Field Hockey	Field Hockey Women	Mariela Antoniska		BRONZE
Argentina	2004	Field Hockey	Field Hockey Women	Ines Arrondo		BRONZE
Argentina	2004	Field Hockey	Field Hockey Women	Luciana Aymar		BRONZE
Argentina	2004	Field Hockey	Field Hockey Women	Claudia Burkart		BRONZE
Argentina	2004	Soccer	Soccer Men	Fabricio Coloccini		GOLD
Argentina	2004	Soccer	Soccer Men	Andres  d'Alessandro		GOLD
Argentina	2004	Soccer	Soccer Men	Roberto Ayala		GOLD
Argentina	2004	Soccer	Soccer Men	Cesar Delgado		GOLD
Argentina	2004	Soccer	Soccer Men	Cristian Gonzalez		GOLD
Argentina	2004	Soccer	Soccer Men	Luis Gonzalez		GOLD
Argentina	2004	Soccer	Soccer Men	Nicolas Burdisso		GOLD
Argentina	2004	Soccer	Soccer Men	Mariano Gonzalez		GOLD
Argentina	2004	Soccer	Soccer Men	Gabriel Heinze		GOLD
Argentina	2004	Soccer	Soccer Men	Javier Mascherano		GOLD
Argentina	2004	Soccer	Soccer Men	Nicolas Medina		GOLD
Argentina	2004	Soccer	Soccer Men	German Lux		GOLD
Argentina	2004	Soccer	Soccer Men	Clemente Rodriguez		GOLD
Argentina	2004	Soccer	Soccer Men	Mauro Rosales		GOLD
Argentina	2004	Soccer	Soccer Men	Javier Saviola		GOLD
Argentina	2004	Soccer	Soccer Men	Carlos Tevez		GOLD
Argentina	2004	Swimming	400m Individual Medley Women	Georgina Bardach	4:37.51	BRONZE
Argentina	2004	Tennis	Women's Doubles	Paola Suarez		BRONZE
Argentina	2004	Tennis	Women's Doubles	Patricia Tarabini		BRONZE
Argentina	2004	Sailing	Tornado	Carlos Espinola	54	BRONZE
Argentina	2004	Sailing	Tornado	Santiago Lange	54	BRONZE
Iran	2004	Taekwondo	68kg Men	Hadi Saei Bonehkohal		GOLD
Iran	2004	Taekwondo	80kg Men	Yossef Karami		BRONZE
Iran	2004	Weightlifting	Super Heavyweight >105kg	Hossein Reza Zadeh	472.5	GOLD
Iran	2004	Wrestling	Freestyle 60kg Men	Masuod Mostafa Gokar		SILVER
Iran	2004	Wrestling	Freestyle 96kg Men	Alireza Heidari		BRONZE
Iran	2004	Wrestling	Freestyle 120kg Men	Alireza Rezaei		SILVER
Norway	2004	Track & Field	Javelin Throw Men	Andreas Thorkildsen	86.50	GOLD
Norway	2004	Canoeing	K1 1000m Kayak Singles (Men)	Eirik Larsen	3:25.897	GOLD
Norway	2004	Canoeing	K2 1000m Kayak Pairs (Men)	Eirik Larsen	3:19.528	BRONZE
Norway	2004	Canoeing	K2 1000m Kayak Pairs (Men)	Nils Fjeldheim	3:19.528	BRONZE
Norway	2004	Cycling	Cross-country Women	Gunn-Rita Dahle	1:56:51	GOLD
Norway	2004	Rowing	Single Sculls Men	Olaf Tufte	6:49.30	GOLD
Norway	2004	Sailing	Europe Women	Siren Sundby	47	GOLD
South Africa	2004	Track & Field	800m Men	Mbulaeni Mulaudzi	1:44.61	SILVER
South Africa	2004	Track & Field	High Jump Women	Hestrie Cloete	2.02	SILVER
South Africa	2004	Rowing	Coxless Pairs Men	Ramon de Clemente	6:33.40	BRONZE
South Africa	2004	Rowing	Coxless Pairs Men	Donovan Cech	6:33.40	BRONZE
South Africa	2004	Swimming	50m Freestyle Men	Roland Schoeman	22.02	BRONZE
South Africa	2004	Swimming	100m Freestyle Men	Roland Schoeman	48.23	SILVER
South Africa	2004	Swimming	4x100m Freestyle Relay Men	Roland Schoeman	3:13.17	GOLD
South Africa	2004	Swimming	4x100m Freestyle Relay Men	Darian Townsend	3:13.17	GOLD
South Africa	2004	Swimming	4x100m Freestyle Relay Men	Lyndon Ferns	3:13.17	GOLD
South Africa	2004	Swimming	4x100m Freestyle Relay Men	Ryk Neethling	3:13.17	GOLD
Slovak Rep.	2004	Canoeing	K4 1000m Kayak Fours (Men)	Juraj Baca	2:59.314	BRONZE
Slovak Rep.	2004	Canoeing	K4 1000m Kayak Fours (Men)	Michal Riszdorfer	2:59.314	BRONZE
Slovak Rep.	2004	Canoeing	K4 1000m Kayak Fours (Men)	Richard Riszdorfer	2:59.314	BRONZE
Slovak Rep.	2004	Canoeing	K4 1000m Kayak Fours (Men)	Erik Vlcek	2:59.314	BRONZE
Slovak Rep.	2004	Canoeing	C1  Canadian Slalom Singles (Men)	Michal Martikán	189.28	SILVER
Slovak Rep.	2004	Canoeing	C2  Canadian Slalom Pairs (Men)	Pavol Hochschorner	207.16	GOLD
Slovak Rep.	2004	Canoeing	C2  Canadian Slalom Pairs (Men)	Peter Hochschorner	207.16	GOLD
Slovak Rep.	2004	Canoeing	K1  Kayak Slalom Singles (Women)	Elena Kaliska	210.03	GOLD
Slovak Rep.	2004	Judo	Half Lightweight (66kg) Men	Jozef Krnac		SILVER
Slovak Rep.	2004	Shooting	10m Air Rifle Men	Jozef Gönci	101.4	BRONZE
Azerbaijan	2004	Boxing	Flyweight	Fuad Aslanov		BRONZE
Azerbaijan	2004	Boxing	Bantamweight	Aghasi Mammadov		BRONZE
Azerbaijan	2004	Shooting	25m Sport Pistol Women	Irada Ashumova	687.3	BRONZE
Azerbaijan	2004	Shooting	Skeet Shooting Women	Zemfira Meftakhetdinova	93	BRONZE
Azerbaijan	2004	Wrestling	Greco-Roman 66kg	Farid Mansurov		GOLD
Croatia	2004	Handball	Handball Men	Mirza Dzomba		GOLD
Croatia	2004	Handball	Handball Men	Slavko Goluza		GOLD
Croatia	2004	Handball	Handball Men	Niksa Kaleb		GOLD
Croatia	2004	Handball	Handball Men	Blazenko Lackovic		GOLD
Croatia	2004	Handball	Handball Men	Venio Losert		GOLD
Croatia	2004	Handball	Handball Men	Valter Matosevic		GOLD
Croatia	2004	Handball	Handball Men	Petar Metlicic		GOLD
Croatia	2004	Handball	Handball Men	Ivano Balic		GOLD
Croatia	2004	Handball	Handball Men	Davor Dominikovic		GOLD
Croatia	2004	Handball	Handball Men	Vlado Sola		GOLD
Croatia	2004	Handball	Handball Men	Denis Spoljaric		GOLD
Croatia	2004	Handball	Handball Men	Goran Sprem		GOLD
Croatia	2004	Handball	Handball Men	Igor Vori		GOLD
Croatia	2004	Handball	Handball Men	Drago Vukovic		GOLD
Croatia	2004	Handball	Handball Men	Vedran Zrnic		GOLD
Croatia	2004	Rowing	Coxless Pairs Men	Niksa Skelin	6:32.64	SILVER
Croatia	2004	Rowing	Coxless Pairs Men	Sinisa Skelin	6:32.64	SILVER
Croatia	2004	Swimming	50m Freestyle Men	Duje Draganja	21.94	SILVER
Croatia	2004	Tennis	Men's Doubles	Ivan Ljubicic		BRONZE
Croatia	2004	Tennis	Men's Doubles	Mario Ancic		BRONZE
Croatia	2004	Weightlifting	Lightweight 69kg	Nikolay Pechalov	337.5	BRONZE
Egypt	2004	Boxing	Light Heavyweight	Ahmed Ismail		BRONZE
Egypt	2004	Boxing	Heavyweight	Mohamed Elsayed		BRONZE
Egypt	2004	Boxing	Super Heavyweight	Mohamed Aly		SILVER
Egypt	2004	Taekwondo	58kg Men	Tamer Bayoumi		BRONZE
Egypt	2004	Wrestling	Greco-Roman 96kg	Karam Ibrahim		GOLD
Jamaica	2004	Track & Field	400m Hurdles Men	Danny McFarlane	48.11	SILVER
Jamaica	2004	Track & Field	100m Women	Veronica Campbell	10.97	BRONZE
Jamaica	2004	Track & Field	200m Women	Veronica Campbell	22.05	GOLD
Jamaica	2004	Track & Field	4x100m Relay Women	Veronica Campbell	41.73	GOLD
Jamaica	2004	Track & Field	4x100m Relay Women	Aleen Bailey	41.73	GOLD
Jamaica	2004	Track & Field	4x100m Relay Women	Sherone Simpson	41.73	GOLD
Jamaica	2004	Track & Field	4x100m Relay Women	Tanya Lawrence	41.73	GOLD
Jamaica	2004	Track & Field	4x400m Relay Women	Novlene Williams	3:22.00	BRONZE
Jamaica	2004	Track & Field	4x400m Relay Women	Michelle Burgher	3:22.00	BRONZE
Jamaica	2004	Track & Field	4x400m Relay Women	Sandie Richards	3:22.00	BRONZE
Jamaica	2004	Track & Field	4x400m Relay Women	Nadia Davy	3:22.00	BRONZE
New Zealand	2004	Canoeing	K1 1000m Kayak Singles (Men)	Ben Fouhy	3:27.413	SILVER
New Zealand	2004	Cycling	Individual Pursuit Women	Sarah Ulmer	3:24.537	GOLD
New Zealand	2004	Rowing	Double Sculls Women	Carolina Evers-Swindell	7:01.79	GOLD
New Zealand	2004	Rowing	Double Sculls Women	Georgina Evers-Swindell	7:01.79	GOLD
New Zealand	2004	Triathlon	Triathlon Men	Hamish Carter	1:51:07	GOLD
New Zealand	2004	Triathlon	Triathlon Men	Bevan Docherty	1:51:15	SILVER
North Korea	2004	Boxing	Featherweight	Song Guk Kim 		SILVER
North Korea	2004	Judo	Lightweight (57kg) Women	Sun Hui Kye 		SILVER
North Korea	2004	Shooting	50m Pistol Men	Jong Su Kim 	93.7	BRONZE
North Korea	2004	Table Tennis	Women's Singles	Hyang Mi Kim 		SILVER
North Korea	2004	Weightlifting	58kg Women	Song Hui Ri 	232.5	SILVER
Switzerland	2004	Cycling	Individual Road Time Trial Women	Karin Thürig	31:54.89	BRONZE
Switzerland	2004	Cycling	Madison Men	Bruno Risi	15	SILVER
Switzerland	2004	Cycling	Madison Men	Franco Marvulli	15	SILVER
Switzerland	2004	Fencing	Épée, Individual Men	Marcel Fischer		GOLD
Switzerland	2004	Triathlon	Triathlon Men	Sven Riederer	1:51:33	BRONZE
Switzerland	2004	Volleyball	Beach Volleyball Men	Patrick Heuscher		BRONZE
Switzerland	2004	Volleyball	Beach Volleyball Men	Stefan Kobel		BRONZE
Taiwan	2004	Archery	Men's Team	Szu Yuan Chen 		SILVER
Taiwan	2004	Archery	Men's Team	Ming Huang Liu 		SILVER
Taiwan	2004	Archery	Men's Team	Cheng Pang Wang 		SILVER
Taiwan	2004	Archery	Women's Team	Hui Ju Wu 		BRONZE
Taiwan	2004	Archery	Women's Team	Shu Chi Yuan 		BRONZE
Taiwan	2004	Archery	Women's Team	Li Ju Chen 		BRONZE
Taiwan	2004	Taekwondo	58kg Men	Mu Yen Chu 		GOLD
Taiwan	2004	Taekwondo	68kg Men	Chih-Hsiung Huang 		SILVER
Taiwan	2004	Taekwondo	49kg Women	Shih Hsin Chen 		GOLD
Uzbekistan	2004	Boxing	Bantamweight	Bahodirjon Sooltonov		BRONZE
Uzbekistan	2004	Boxing	Light Heavyweight	Utkirbek Haydarov		BRONZE
Uzbekistan	2004	Wrestling	Greco-Roman 74kg	Alexandr Dokturishivili		GOLD
Uzbekistan	2004	Wrestling	Freestyle 96kg Men	Magomed Ibragimov		SILVER
Uzbekistan	2004	Wrestling	Freestyle 120kg Men	Artur Taymazov		GOLD
Georgia	2004	Judo	Extra Lightweight (60kg) Men	Nestor Khergiani		SILVER
Georgia	2004	Judo	Middleweight (90kg) Men	Zurab Zviadauri		GOLD
Georgia	2004	Weightlifting	Light Heavyweight 85kg	George Asanidze	382.5	GOLD
Georgia	2004	Wrestling	Greco-Roman 96kg	Ramaz Nozadze		SILVER
Indonesia	2004	Badminton	Men's Singles	Taufik Hidayat		GOLD
Indonesia	2004	Badminton	Men's Singles	Soni Dwi Kuncoro		BRONZE
Indonesia	2004	Badminton	Men's Doubles	Flandy Limpele		BRONZE
Indonesia	2004	Badminton	Men's Doubles	Eng Hian		BRONZE
Indonesia	2004	Weightlifting	53kg Women	Raema Lisa Rumbewas	210	SILVER
Latvia	2004	Track & Field	Javelin Throw Men	Vadims Vasilevskis	84.95	SILVER
Latvia	2004	Gymnastics	Long Horse Vault	Evgeni Sapronenko	9.706	SILVER
Latvia	2004	Modern Pentathlon	Individual Women	Jelena Rublevska	5380	SILVER
Latvia	2004	Weightlifting	Super Heavyweight >105kg	Viktors Scerbatihs	455	SILVER
Mexico	2004	Track & Field	400m Women	Ana Guevara	49.56	SILVER
Mexico	2004	Cycling	Points Race Women	Belem Guerrero Mendez	14	SILVER
Mexico	2004	Taekwondo	58kg Men	Oscar Salazar		SILVER
Mexico	2004	Taekwondo	57kg Women	Iridia Salazar		BRONZE
Slovenia	2004	Track & Field	800m Women	Jolanda Ceplak	1:56.43	BRONZE
Slovenia	2004	Judo	Half Middleweight (63kg) Women	Urska Zolnir		BRONZE
Slovenia	2004	Rowing	Double Sculls Men	Iztok Cop	6:31.72	SILVER
Slovenia	2004	Rowing	Double Sculls Men	Luka Spik	6:31.72	SILVER
Slovenia	2004	Sailing	Laser	Vasilij Zbogar	76	BRONZE
Belgium	2004	Cycling	Individual Road Race Men	Axel Merckx	5:41:52	BRONZE
Belgium	2004	Judo	Half Lightweight (52kg) Women	Ilse Heylen		BRONZE
Belgium	2004	Tennis	Women's Singles	Justine Henin Hardenne		GOLD
Chile	2004	Tennis	Men's Singles	Nicolas Massu		GOLD
Chile	2004	Tennis	Men's Singles	Fernando Gonzalez		BRONZE
Chile	2004	Tennis	Men's Doubles	Fernando Gonzalez		GOLD
Chile	2004	Tennis	Men's Doubles	Nicolas Massu		GOLD
Estonia	2004	Track & Field	Discus Throw Men	Aleksander Tammert	66.66	BRONZE
Estonia	2004	Judo	Heavyweight (+100kg) Men	Indrek Pertelson		BRONZE
Estonia	2004	Rowing	Single Sculls Men	Jüri Jaanson	6:51.42	SILVER
Lithuania	2004	Track & Field	Discus Throw Men	Virgilijus Alekna	69.89	GOLD
Lithuania	2004	Track & Field	Heptathlon Women	Austra Skujyte	6435	SILVER
Lithuania	2004	Modern Pentathlon	Individual Men	Andrejus Zadneprovskis	5428	SILVER
Morocco	2004	Track & Field	1500m Men	Hicham el Guerrouj	3:34.18	GOLD
Morocco	2004	Track & Field	5000m Men	Hicham el Guerrouj	13:14.39	GOLD
Morocco	2004	Track & Field	800m Women	Hasna Benhassi	1:56.43	SILVER
Portugal	2004	Track & Field	100m Men	Francis Obikwelu	9.86	SILVER
Portugal	2004	Track & Field	1500m Men	Rui Silva	3:34.68	BRONZE
Portugal	2004	Cycling	Individual Road Race Men	Sergio Paulinho	5:41:45	SILVER
Zimbabwe	2004	Swimming	100m Backstroke Women	Kirsty Coventry	1:00.50	SILVER
Zimbabwe	2004	Swimming	200m Backstroke Women	Kirsty Coventry	2:09.19	GOLD
Zimbabwe	2004	Swimming	200m Individual Medley Women	Kirsty Coventry	2:12.72	BRONZE
Bahamas	2004	Track & Field	200m Women	Debbie Ferguson	22.30	BRONZE
Bahamas	2004	Track & Field	400m Women	Tonique Williams-Darling	49.41	GOLD
Finland	2004	Shooting	Skeet Shooting	Marko Kemppainen	149	SILVER
Finland	2004	Wrestling	Greco-Roman 74kg	Marko Yli-Hannuksela		SILVER
Israel	2004	Judo	Half-Heavyweight (100kg) Men	Ariel Zeevi		BRONZE
Israel	2004	Sailing	Mistral Men	Gal Fridman	42	GOLD
Nigeria	2004	Track & Field	4x100m Relay Men	Aaron Egbele	38.23	BRONZE
Nigeria	2004	Track & Field	4x100m Relay Men	Uchenna Emedolu	38.23	BRONZE
Nigeria	2004	Track & Field	4x100m Relay Men	Olusoji Fasuba	38.23	BRONZE
Nigeria	2004	Track & Field	4x100m Relay Men	Deji Aliu	38.23	BRONZE
Nigeria	2004	Track & Field	4x400m Relay Men	Musa Audu	3:00.90	BRONZE
Nigeria	2004	Track & Field	4x400m Relay Men	James Godday	3:00.90	BRONZE
Nigeria	2004	Track & Field	4x400m Relay Men	Enefiok Udo-Obong	3:00.90	BRONZE
Nigeria	2004	Track & Field	4x400m Relay Men	Saul Weigopwa	3:00.90	BRONZE
Venezuela	2004	Taekwondo	over 67kg Women	Adriana Carmona		BRONZE
Venezuela	2004	Weightlifting	Featherweight 62kg	Israel Jose Rubio	295	BRONZE
Yugoslav Federation	2004	Water Polo	Water Polo Men	Aleksandar Ciric		SILVER
Yugoslav Federation	2004	Water Polo	Water Polo Men	Vladimir Gojkovic		SILVER
Yugoslav Federation	2004	Water Polo	Water Polo Men	Danilo Ikodinovic		SILVER
Yugoslav Federation	2004	Water Polo	Water Polo Men	Viktor Jelenic		SILVER
Yugoslav Federation	2004	Water Polo	Water Polo Men	Predrag Jokic		SILVER
Yugoslav Federation	2004	Water Polo	Water Polo Men	Nikola Kuljaca		SILVER
Yugoslav Federation	2004	Water Polo	Water Polo Men	Slobodan Nikic		SILVER
Yugoslav Federation	2004	Water Polo	Water Polo Men	Aleksandar Sapic		SILVER
Yugoslav Federation	2004	Water Polo	Water Polo Men	Dejan Savic		SILVER
Yugoslav Federation	2004	Water Polo	Water Polo Men	Denis Sefik		SILVER
Yugoslav Federation	2004	Water Polo	Water Polo Men	Petar Trbojevic		SILVER
Yugoslav Federation	2004	Water Polo	Water Polo Men	Vanja Udovicic		SILVER
Yugoslav Federation	2004	Water Polo	Water Polo Men	Vladimir Vujasinovic		SILVER
Cameroon	2004	Track & Field	Triple Jump Women	Francoise Mbango Etone	15.30	GOLD
Colombia	2004	Weightlifting	53kg Women	Mabel Mosquera	197.5	BRONZE
Dominican Rep.	2004	Track & Field	400m Hurdles Men	Felix Sanchez	47.63	GOLD
Eritrea	2004	Track & Field	10000m Men	Zersenay Tadesse	27:22.57	BRONZE
Hong Kong	2004	Table Tennis	Men's Doubles	Lai Chak Ko 		SILVER
Hong Kong	2004	Table Tennis	Men's Doubles	Ching Li 		SILVER
India	2004	Shooting	Double Trap Men	Rajyavardhan Singh Rathore	179	SILVER
Mongolia	2004	Judo	Extra Lightweight (60kg) Men	Tsagaanbaatar Khashbaatar		BRONZE
Paraguay	2004	Soccer	Soccer Men	Fredy Bareiro		SILVER
Paraguay	2004	Soccer	Soccer Men	Diego Barreto		SILVER
Paraguay	2004	Soccer	Soccer Men	Edgar Barreto		SILVER
Paraguay	2004	Soccer	Soccer Men	Pedro Benitez		SILVER
Paraguay	2004	Soccer	Soccer Men	Jose Cardozo		SILVER
Paraguay	2004	Soccer	Soccer Men	Ernesto Cristaldo		SILVER
Paraguay	2004	Soccer	Soccer Men	Jose de Vaca		SILVER
Paraguay	2004	Soccer	Soccer Men	Osvaldo Diaz		SILVER
Paraguay	2004	Soccer	Soccer Men	Julio Cesar Enciso		SILVER
Paraguay	2004	Soccer	Soccer Men	Celso Esquivel		SILVER
Paraguay	2004	Soccer	Soccer Men	Diego Figueredo		SILVER
Paraguay	2004	Soccer	Soccer Men	Carlos Gamarra		SILVER
Paraguay	2004	Soccer	Soccer Men	Pablo Gimenez		SILVER
Paraguay	2004	Soccer	Soccer Men	Julio Gonzalez		SILVER
Paraguay	2004	Soccer	Soccer Men	Julio Manzur		SILVER
Paraguay	2004	Soccer	Soccer Men	Emilio Martinez		SILVER
Paraguay	2004	Soccer	Soccer Men	Aureliano Torres		SILVER
Syria	2004	Boxing	Heavyweight	Naser Al Shami		BRONZE
Trinidad & Tobago	2004	Swimming	200m Individual Medley Men	George Bovell	1:58.80	BRONZE
United Arab Emirates	2004	Shooting	Double Trap Men	Ahmed Almaktoum	189	GOLD
Norway	1924	Nordic Skiing	18km Cross-country Men	Thorleif Haug	1:14:31.0	GOLD
Norway	1924	Nordic Skiing	18km Cross-country Men	Johan Grøttumsbråten	1:15:51.0	SILVER
Norway	1924	Nordic Skiing	50km Cross-country Men	Thorleif Haug	3:44:32	GOLD
Norway	1924	Nordic Skiing	50km Cross-country Men	Thoralf Strømstad	3:46:23	SILVER
Norway	1924	Nordic Skiing	50km Cross-country Men	Johan Grøttumsbråten	3:47:46	BRONZE
Norway	1924	Nordic Skiing	Ski Jump	Thorleif Haug		none
Norway	1924	Nordic Skiing	Ski Jump	Jacob Thams	18.960	GOLD
Norway	1924	Nordic Skiing	Ski Jump	Narve Bonna	18.689	SILVER
Norway	1924	Nordic Skiing	Nordic Combined	Thorleif Haug	18.906	GOLD
Norway	1924	Nordic Skiing	Nordic Combined	Thoralf Strømstad	18.219	SILVER
Norway	1924	Nordic Skiing	Nordic Combined	Johan Grøttumsbråten	17.854	BRONZE
Norway	1924	Speed Skating	500m Men	Oskar Olsen	44.2	SILVER
Norway	1924	Speed Skating	500m Men	Roald Larsen	44.8	BRONZE
Norway	1924	Speed Skating	1500m Men	Roald Larsen	2:22.0	SILVER
Norway	1924	Speed Skating	1500m Men	Sigurd Moen	2:25.6	BRONZE
Norway	1924	Speed Skating	5000m Men	Roald Larsen	8:50.2	BRONZE
Norway	1924	Speed Skating	10000m Men	Roald Larsen	18:12.2	BRONZE
Norway	1924	Speed Skating	Four-Race Combined	Roald Larsen	9.5	SILVER
Finland	1924	Figure Skating	Pairs	Ludowika Jakobsson	18.5	SILVER
Finland	1924	Figure Skating	Pairs	Walter Jakobsson	18.5	SILVER
Finland	1924	Nordic Skiing	18km Cross-country Men	Tapani Niku	1:16:26.0	BRONZE
Finland	1924	Speed Skating	500m Men	Clas Thunberg	44.8	BRONZE
Finland	1924	Speed Skating	1500m Men	Clas Thunberg	2:20.8	GOLD
Finland	1924	Speed Skating	5000m Men	Clas Thunberg	8:39.0	GOLD
Finland	1924	Speed Skating	5000m Men	Julius Skutnabb	8:48.4	SILVER
Finland	1924	Speed Skating	10000m Men	Julius Skutnabb	18:04.8	GOLD
Finland	1924	Speed Skating	10000m Men	Clas Thunberg	18:07.8	SILVER
Finland	1924	Speed Skating	Four-Race Combined	Clas Thunberg	5.5	GOLD
Finland	1924	Speed Skating	Four-Race Combined	Julius Skutnabb	11	BRONZE
United Kingdom	1924	Bobsleigh	Four-Man Bobsled	Thomas Arnold	5:48.83	SILVER
United Kingdom	1924	Bobsleigh	Four-Man Bobsled	Ralph Broome	5:48.83	SILVER
United Kingdom	1924	Bobsleigh	Four-Man Bobsled	Alexander Richardson	5:48.83	SILVER
United Kingdom	1924	Bobsleigh	Four-Man Bobsled	Rodney Soher	5:48.83	SILVER
United Kingdom	1924	Figure Skating	Women	Ethel Muckelt	26	BRONZE
United Kingdom	1924	Ice Hockey	Ice Hockey	Edward Pitblado		BRONZE
United Kingdom	1924	Ice Hockey	Ice Hockey	Blane Sexton		BRONZE
United Kingdom	1924	Ice Hockey	Ice Hockey	William Anderson		BRONZE
United Kingdom	1924	Ice Hockey	Ice Hockey	Lorne Carr-Harris		BRONZE
United Kingdom	1924	Ice Hockey	Ice Hockey	Colin Carruthers		BRONZE
United Kingdom	1924	Ice Hockey	Ice Hockey	Eric Carruthers		BRONZE
United Kingdom	1924	Ice Hockey	Ice Hockey	Guy Clarkson		BRONZE
United Kingdom	1924	Ice Hockey	Ice Hockey	Ross Cuthbert		BRONZE
United Kingdom	1924	Ice Hockey	Ice Hockey	George Holmes		BRONZE
United Kingdom	1924	Ice Hockey	Ice Hockey	Hamilton Jukes		BRONZE
United States	1924	Figure Skating	Women	Beatrix Loughran	14	SILVER
United States	1924	Ice Hockey	Ice Hockey	John Lyons		SILVER
United States	1924	Ice Hockey	Ice Hockey	Justin McCarthy		SILVER
United States	1924	Ice Hockey	Ice Hockey	Willard Rice		SILVER
United States	1924	Ice Hockey	Ice Hockey	Irving Small		SILVER
United States	1924	Ice Hockey	Ice Hockey	Francis Synott		SILVER
United States	1924	Ice Hockey	Ice Hockey	Clarence Abel		SILVER
United States	1924	Ice Hockey	Ice Hockey	Herb Drury		SILVER
United States	1924	Ice Hockey	Ice Hockey	Alphonse Lacroix		SILVER
United States	1924	Ice Hockey	Ice Hockey	John Langley		SILVER
United States	1924	Nordic Skiing	Ski Jump	Anders Haugen	17.916	BRONZE
United States	1924	Speed Skating	500m Men	Charles Jewtraw	44.0	GOLD
Austria	1924	Figure Skating	Men	Willy Böckl	13	SILVER
